date,dem,state,agency
2014-01-06,56.6193883542285,AK,nyt
2014-01-07,56.5307271034562,AK,nyt
2014-01-08,56.6455246137674,AK,nyt
2014-01-09,56.4297861569633,AK,nyt
2014-01-10,56.717399496994,AK,nyt
2014-01-11,56.9040022858355,AK,nyt
2014-01-12,56.831528227291,AK,nyt
2014-01-13,56.8787764369747,AK,nyt
2014-01-14,57.1145755410217,AK,nyt
2014-01-15,57.2249674518799,AK,nyt
2014-01-16,57.3120947518303,AK,nyt
2014-01-17,56.8974056414569,AK,nyt
2014-01-18,56.6204044331903,AK,nyt
2014-01-19,56.789450636925,AK,nyt
2014-01-20,54.9106993488836,AK,nyt
2014-01-21,55.8508342731955,AK,nyt
2014-01-22,44.887243835842,AK,nyt
2014-01-23,44.5989999511317,AK,nyt
2014-01-24,44.5818994654339,AK,nyt
2014-01-25,39.5106484951678,AK,nyt
2014-01-26,38.7642668996062,AK,nyt
2014-01-27,38.8255234981609,AK,nyt
2014-01-28,38.3760483075368,AK,nyt
2014-01-29,38.6848227896733,AK,nyt
2014-01-30,38.8520034569065,AK,nyt
2014-01-31,44.3038335335921,AK,nyt
2014-02-01,49.4749617289665,AK,nyt
2014-02-02,49.4984526870499,AK,nyt
2014-02-03,49.6393411951313,AK,nyt
2014-02-04,49.5470698852881,AK,nyt
2014-02-05,49.8852648389769,AK,nyt
2014-02-06,49.7723864445649,AK,nyt
2014-02-07,49.7968044184205,AK,nyt
2014-02-08,49.87872179473,AK,nyt
2014-02-09,50.2106665146967,AK,nyt
2014-02-10,50.1981442369445,AK,nyt
2014-02-11,50.3897746047544,AK,nyt
2014-02-12,50.566107051108,AK,nyt
2014-02-13,50.6632933188195,AK,nyt
2014-02-14,50.7267898950708,AK,nyt
2014-02-15,50.7002080652528,AK,nyt
2014-02-16,50.8843139891671,AK,nyt
2014-02-17,51.0700917909185,AK,nyt
2014-02-18,51.300453434073,AK,nyt
2014-02-19,51.2364799238225,AK,nyt
2014-02-20,51.4153343579103,AK,nyt
2014-02-21,51.3999600079951,AK,nyt
2014-02-22,51.4074359143946,AK,nyt
2014-02-23,51.6963939311282,AK,nyt
2014-02-24,51.568970799563,AK,nyt
